price,sar,rsi,macd
0.025117,-0.00019800000000000026,43.22,-0.019
0.025373,-0.0003380000000000015,26.01,-0.012
0.025259,-0.0004310000000000008,22.39,-0.022
0.025367,-0.00028800000000000006,32.04,-0.019
0.025467,-0.00014199999999999977,39.54,-0.008
0.025407,-0.00016100000000000142,36.91,-0.004
0.025433,-9.89999999999984e-05,38.81,0.002
0.025275,-0.00022400000000000198,32.42,-0.004
0.025179,-0.0002899999999999986,29.27,-0.012
0.025018,-0.00041500000000000217,24.89,-0.025
0.025255,-0.00011399999999999952,39.28,-0.016
0.025230,0.0003499999999999996,38.44,-0.01
0.025304,0.00042400000000000077,42.35,0.001
0.025198,0.0003080000000000027,38.57,0.002
0.025085,0.00018500000000000114,34.98,-0.003
0.025044,0.0001339999999999987,33.76,-0.008
0.025093,-0.0002939999999999991,36.62,-0.006
0.025198,-0.0001789999999999986,42.36,0.004
0.025203,-0.00016500000000000195,42.63,0.012
0.025412,0.000512000000000002,52.51,0.030000000000000002
0.025357,0.00044500000000000095,50.07,0.038
0.025431,0.000507999999999998,53.22,0.047
0.025552,0.0006169999999999995,57.91,0.059
0.025543,0.0005819999999999992,57.45,0.064
0.025549,0.000562,57.69,0.064
0.025617,0.0006060000000000024,60.43,0.067
0.025642,0.0005940000000000008,61.42,0.066
0.025653,0.0005569999999999985,61.88,0.064
0.025563,0.00040699999999999764,56.08,0.053
0.025565,0.00035400000000000015,56.18,0.044
0.025443,0.00013900000000000023,48.51,0.020999999999999998
0.025511,0.000167999999999998,52.41,0.015000000000000001
0.025675,0.0002960000000000011,60.23,0.020999999999999998
0.025731,0.00032000000000000084,62.50,0.026
0.025721,0.0002690000000000019,61.82,0.028
0.025717,0.00022900000000000004,61.54,0.026
0.025620,8.700000000000027e-05,54.87,0.017
0.025590,1.9000000000001654e-05,52.96,0.009000000000000001
0.025682,-0.0001250000000000001,57.81,0.008
0.025543,-0.0002599999999999998,49.51,-0.002
0.025497,-0.0002950000000000001,47.10,-0.012
0.025462,-0.00031000000000000125,45.29,-0.02
0.025500,-0.0002530000000000032,47.64,-0.022
0.025586,-0.00014899999999999983,52.60,-0.017
0.025651,-6.700000000000109e-05,55.99,-0.009000000000000001
0.025757,0.0003039999999999987,60.91,0.003
0.025687,0.0002280000000000025,56.43,0.005
0.025677,0.00020499999999999685,55.79,0.005
0.025654,0.000168999999999999,54.29,0.003
0.025628,0.00013100000000000264,52.56,0.0
0.025674,0.00016499999999999848,55.27,0.001
0.025570,4.999999999999796e-05,48.52,-0.006
0.025487,-0.00029900000000000065,43.91,-0.016
0.025490,-0.00028900000000000106,44.12,-0.020999999999999998
0.025620,-0.00015300000000000036,52.32,-0.015000000000000001
0.025434,-0.00033200000000000243,42.67,-0.023
0.025441,-0.00031200000000000325,43.10,-0.026
0.025528,-0.0002040000000000028,48.24,-0.020999999999999998
0.025562,-0.00014999999999999736,50.13,-0.015000000000000001
0.025527,-0.00016599999999999948,48.18,-0.013
0.025609,-6.600000000000009e-05,52.82,-0.005
0.025578,-8.000000000000021e-05,50.96,-0.002
