price,supertrendSell,supertrendBuy,rsi,ema
0.061026,0.06,n/a,46.31,0.060789
0.060951,0.06,n/a,37.04,0.060790
0.060891,0.06,n/a,21.61,0.060791
0.060890,0.06,n/a,9.58,0.060792
0.060943,0.06,n/a,12.07,0.060794
0.060798,0.06,n/a,10.70,0.060794
0.060905,0.06,n/a,22.47,0.060795
0.060891,0.06,n/a,24.78,0.060796
0.060964,0.06,n/a,44.98,0.060797
0.060961,0.06,n/a,51.85,0.060799
0.060905,0.06,n/a,54.07,0.060800
0.060805,0.06,n/a,40.35,0.060800
0.060854,0.06,n/a,37.00,0.060801
0.060898,0.06,n/a,50.13,0.060802
0.060958,0.06,n/a,76.98,0.060803
0.060923,0.06,n/a,88.18,0.060804
0.060859,0.06,n/a,79.04,0.060805
0.060625,0.06,n/a,45.70,0.060803
0.060741,0.06,n/a,33.25,0.060803
0.060828,0.06,n/a,62.47,0.060803
0.060879,0.06,n/a,78.82,0.060803
0.060748,0.06,n/a,81.00,0.060804
0.060819,0.06,n/a,76.01,0.060804
0.060850,0.06,n/a,74.77,0.060804
0.060761,0.06,n/a,77.94,0.060804
0.060676,0.06,n/a,64.15,0.060803
0.060760,0.06,n/a,58.68,0.060802
0.060850,0.06,n/a,71.10,0.060803
0.060852,0.06,n/a,91.58,0.060803
0.060923,0.06,n/a,100.00,0.060804
0.060996,0.06,n/a,100.00,0.060806
0.061000,n/a,0.06,100.00,0.060808
0.060923,n/a,0.06,90.67,0.060809
0.060823,n/a,0.06,70.68,0.060809
0.060884,n/a,0.06,57.28,0.060810
0.060843,n/a,0.06,48.88,0.060810
0.060828,n/a,0.06,49.53,0.060811
0.060863,n/a,0.06,47.81,0.060811
0.060819,n/a,0.06,45.35,0.060811
0.060835,n/a,0.06,39.20,0.060811
0.060853,n/a,0.06,28.42,0.060812
0.060873,n/a,0.06,27.24,0.060813
0.060774,n/a,0.06,19.39,0.060812
0.060717,n/a,0.06,11.95,0.060811
0.060702,n/a,0.06,0.00,0.060810
0.060687,n/a,0.06,0.00,0.060809
0.060682,n/a,0.06,0.00,0.060808
0.060729,n/a,0.06,12.52,0.060807
0.060794,n/a,0.06,40.59,0.060807
0.060708,n/a,0.06,51.98,0.060806
0.060686,n/a,0.06,46.96,0.060805
0.060750,n/a,0.06,41.55,0.060804
0.060707,n/a,0.06,44.61,0.060803
0.060595,0.06,n/a,37.12,0.060801
0.060651,0.06,n/a,26.14,0.060799
0.060648,0.06,n/a,24.78,0.060798
0.060583,0.06,n/a,26.84,0.060796
0.060667,0.06,n/a,37.43,0.060795
0.060540,0.06,n/a,26.46,0.060792
0.060693,0.06,n/a,56.56,0.060791
0.060556,0.06,n/a,46.97,0.060789
0.060475,0.06,n/a,47.76,0.060786
0.060550,0.06,n/a,32.51,0.060783
0.060553,0.06,n/a,37.25,0.060781
0.060622,0.06,n/a,64.39,0.060779
0.060633,0.06,n/a,79.52,0.060778
0.060672,0.06,n/a,95.41,0.060777
0.060664,0.06,n/a,97.34,0.060776
0.060643,0.06,n/a,93.60,0.060774
0.060619,0.06,n/a,84.28,0.060773
0.060542,0.06,n/a,63.46,0.060771
0.060426,0.06,n/a,35.17,0.060767
0.060233,0.06,n/a,11.15,0.060762
0.060339,0.06,n/a,11.79,0.060758
0.060193,0.06,n/a,15.85,0.060752
0.060251,0.06,n/a,25.79,0.060747
0.060323,0.06,n/a,30.84,0.060743
0.060287,0.06,n/a,41.44,0.060738
0.060363,0.06,n/a,53.34,0.060734
0.060479,0.06,n/a,68.07,0.060732
0.060526,0.06,n/a,86.75,0.060730
0.060537,0.06,n/a,98.24,0.060728
0.060586,0.06,n/a,100.00,0.060727
0.060735,n/a,0.06,100.00,0.060727
0.060681,n/a,0.06,96.62,0.060726
0.060774,n/a,0.06,96.62,0.060727
0.060816,n/a,0.06,96.62,0.060728
0.060947,n/a,0.06,100.00,0.060730
0.060860,n/a,0.06,94.35,0.060731
0.060863,n/a,0.06,88.24,0.060732
0.060704,n/a,0.06,71.80,0.060732
0.060694,n/a,0.06,57.25,0.060732
0.060665,n/a,0.06,33.55,0.060731
0.060731,n/a,0.06,23.31,0.060731
0.060690,n/a,0.06,12.08,0.060731
0.060703,n/a,0.06,11.85,0.060730
0.060716,n/a,0.06,9.98,0.060730
0.060810,n/a,0.06,22.87,0.060731
0.060830,n/a,0.06,36.36,0.060732
0.060827,n/a,0.06,47.92,0.060733
0.060761,n/a,0.06,39.46,0.060733
0.060722,n/a,0.06,23.85,0.060733
0.060692,n/a,0.06,7.52,0.060733
0.060547,n/a,0.06,1.19,0.060731
0.060520,0.06,n/a,0.00,0.060729
0.060537,0.06,n/a,2.25,0.060727
0.060494,0.06,n/a,2.25,0.060725
0.060507,0.06,n/a,4.03,0.060722
0.060435,0.06,n/a,1.78,0.060719
0.060337,0.06,n/a,1.78,0.060716
0.060317,0.06,n/a,0.00,0.060712
0.060283,0.06,n/a,0.00,0.060707
0.060346,0.06,n/a,6.70,0.060704
0.060243,0.06,n/a,8.67,0.060699
0.060352,0.06,n/a,24.22,0.060696
0.060479,0.06,n/a,48.45,0.060694
0.060366,0.06,n/a,69.86,0.060690
0.060382,0.06,n/a,79.47,0.060687
0.060404,0.06,n/a,76.25,0.060685
0.060433,0.06,n/a,83.98,0.060682
0.060508,0.06,n/a,92.14,0.060680
0.060403,0.06,n/a,88.75,0.060678
0.060515,0.06,n/a,90.98,0.060676
0.060561,0.06,n/a,90.98,0.060675
0.060418,0.06,n/a,89.72,0.060672
0.060367,0.06,n/a,75.40,0.060669
0.060296,0.06,n/a,56.59,0.060665
0.060393,0.06,n/a,49.45,0.060663
0.060388,0.06,n/a,43.99,0.060660
0.060419,0.06,n/a,45.56,0.060655
0.060421,0.06,n/a,50.81,0.060653
0.060432,0.06,n/a,57.96,0.060650
0.060427,0.06,n/a,59.31,0.060648
0.060395,0.06,n/a,54.56,0.060646
0.060466,0.06,n/a,61.45,0.060644
0.060441,0.06,n/a,64.41,0.060642
0.060382,0.06,n/a,64.91,0.060639
0.060447,0.06,n/a,67.00,0.060637
0.060423,0.06,n/a,68.48,0.060635
0.060357,0.06,n/a,53.93,0.060632
0.060428,0.06,n/a,48.26,0.060630
0.060394,0.06,n/a,37.48,0.060628
0.060277,0.06,n/a,37.48,0.060625
0.060275,0.06,n/a,13.47,0.060621
0.060144,0.06,n/a,0.00,0.060616
0.060184,0.06,n/a,6.17,0.060612
0.060237,0.06,n/a,20.10,0.060608
0.060309,0.06,n/a,43.65,0.060605
0.060222,0.06,n/a,53.22,0.060602
0.060320,0.06,n/a,67.79,0.060599
0.060464,0.06,n/a,77.57,0.060597
0.060424,0.06,n/a,91.58,0.060596
0.060454,0.06,n/a,95.12,0.060594
0.060479,n/a,0.06,95.12,0.060593
0.060504,n/a,0.06,98.72,0.060592
0.060518,n/a,0.06,100.00,0.060591
0.060569,n/a,0.06,100.00,0.060591
0.060584,n/a,0.06,100.00,0.060591
0.060567,n/a,0.06,97.98,0.060591
0.060645,n/a,0.06,97.98,0.060591
0.060650,n/a,0.06,97.98,0.060592
0.060587,n/a,0.06,91.54,0.060592
0.060625,n/a,0.06,84.27,0.060592
0.060650,n/a,0.06,77.82,0.060593
0.060634,n/a,0.06,75.14,0.060593
0.060608,n/a,0.06,60.68,0.060593
0.060520,n/a,0.06,33.80,0.060593
0.060507,n/a,0.06,11.60,0.060592
0.060489,n/a,0.06,0.00,0.060591
0.060519,n/a,0.06,5.26,0.060590
0.060463,n/a,0.06,5.26,0.060589
0.060476,n/a,0.06,7.42,0.060588
0.060578,n/a,0.06,19.25,0.060588
0.060492,n/a,0.06,23.82,0.060587
0.060450,n/a,0.06,21.66,0.060585
0.060528,n/a,0.06,16.29,0.060585
0.060430,n/a,0.06,11.72,0.060583
0.060523,n/a,0.06,24.96,0.060583
0.060480,n/a,0.06,22.09,0.060582
0.060600,n/a,0.06,55.42,0.060582
0.060583,n/a,0.06,71.90,0.060582
0.060644,n/a,0.06,96.38,0.060582
0.060713,n/a,0.06,96.38,0.060584
0.060705,n/a,0.06,98.71,0.060585
0.060753,n/a,0.06,98.71,0.060587
0.060707,n/a,0.06,91.72,0.060588
0.060779,n/a,0.06,92.76,0.060590
0.060697,n/a,0.06,80.82,0.060591
0.060741,n/a,0.06,80.19,0.060592
0.060663,n/a,0.06,62.53,0.060593
0.060744,n/a,0.06,62.29,0.060594
0.060753,n/a,0.06,58.79,0.060596
0.060822,n/a,0.06,72.03,0.060598
0.060894,n/a,0.06,84.23,0.060601
0.060959,n/a,0.06,95.35,0.060605
0.060630,n/a,0.06,66.67,0.060605
0.061004,n/a,0.06,56.12,0.060609
0.060976,n/a,0.06,43.45,0.060613
0.060942,n/a,0.06,61.47,0.060616
0.061046,n/a,0.06,62.14,0.060620
0.061249,n/a,0.06,73.86,0.060626
0.061071,n/a,0.06,74.93,0.060631
0.060911,n/a,0.06,60.49,0.060634
0.061240,n/a,0.06,51.34,0.060640
