price,supertrendSell,supertrendBuy,rsi,ema
0.010019,0.01,n/a,44.37,0.009793
0.010011,0.01,n/a,39.14,0.009795
0.010016,0.01,n/a,34.64,0.009797
0.010029,0.01,n/a,44.04,0.009800
0.010040,0.01,n/a,69.29,0.009802
0.010031,0.01,n/a,80.98,0.009804
0.010012,0.01,n/a,63.41,0.009806
0.010031,0.01,n/a,53.84,0.009809
0.010019,0.01,n/a,42.36,0.009811
0.010041,0.01,n/a,67.60,0.009813
0.010043,0.01,n/a,96.32,0.009818
0.010047,0.01,n/a,98.13,0.009820
0.010044,0.01,n/a,95.96,0.009822
0.010079,n/a,0.01,96.01,0.009825
0.010074,n/a,0.01,92.30,0.009827
0.010053,n/a,0.01,78.07,0.009829
0.010041,n/a,0.01,52.46,0.009832
0.010005,0.01,n/a,22.84,0.009833
0.010000,0.01,n/a,7.72,0.009835
0.009989,0.01,n/a,0.00,0.009836
0.009997,0.01,n/a,3.50,0.009838
0.010010,0.01,n/a,12.45,0.009840
0.010007,0.01,n/a,20.37,0.009841
0.010010,0.01,n/a,26.12,0.009843
0.009997,0.01,n/a,21.63,0.009845
0.010028,0.01,n/a,31.07,0.009846
0.010020,0.01,n/a,36.10,0.009848
0.010077,n/a,0.01,64.96,0.009850
0.010080,n/a,0.01,80.94,0.009853
0.010062,n/a,0.01,92.66,0.009855
0.010051,n/a,0.01,81.13,0.009857
0.010039,n/a,0.01,65.19,0.009859
0.010038,n/a,0.01,56.22,0.009860
0.010048,n/a,0.01,53.48,0.009862
0.010031,n/a,0.01,46.99,0.009864
0.010027,n/a,0.01,39.13,0.009866
0.010021,n/a,0.01,26.58,0.009867
0.010031,n/a,0.01,27.21,0.009869
0.010061,n/a,0.01,40.30,0.009871
0.010045,n/a,0.01,56.53,0.009874
0.010081,n/a,0.01,63.33,0.009876
0.010084,n/a,0.01,74.40,0.009878
0.010065,n/a,0.01,82.61,0.009880
0.010061,n/a,0.01,71.17,0.009882
0.010080,n/a,0.01,65.46,0.009884
0.010053,n/a,0.01,55.75,0.009886
0.009985,0.01,n/a,38.15,0.009887
0.009961,0.01,n/a,10.52,0.009887
0.009922,0.01,n/a,0.00,0.009888
0.009953,0.01,n/a,7.76,0.009888
0.009898,0.01,n/a,9.03,0.009888
0.009968,0.01,n/a,23.85,0.009889
0.009991,0.01,n/a,34.56,0.009890
0.010023,n/a,0.01,56.48,0.009892
0.010033,n/a,0.01,66.27,0.009893
0.010032,n/a,0.01,74.37,0.009894
0.010046,n/a,0.01,80.08,0.009896
0.010041,n/a,0.01,83.36,0.009897
0.010050,n/a,0.01,90.12,0.009899
0.010022,n/a,0.01,87.90,0.009900
0.010009,n/a,0.01,83.82,0.009901
0.010045,n/a,0.01,82.15,0.009903
0.010041,n/a,0.01,86.04,0.009904
0.010056,n/a,0.01,95.57,0.009906
0.010060,n/a,0.01,97.24,0.009907
0.010026,n/a,0.01,75.66,0.009908
0.010102,n/a,0.01,75.66,0.009910
0.010084,n/a,0.01,67.18,0.009912
0.010087,n/a,0.01,84.08,0.009914
