price,ema20,vol,vol_ema,dif_sar,rsi
0.021979,0.021916,148,217,6.199999999999956e-05,72.64
0.021956,0.021909,535,223,4.900000000000043e-05,68.19
0.021979,0.021916,148,217,6.199999999999956e-05,72.64
0.021977,0.021922,127,215,4.799999999999943e-05,71.70
0.021984,0.021928,144,209,4.49999999999999e-05,73.01
0.021994,0.021934,644,235,4.099999999999937e-05,74.81
0.022019,0.021942,293,240,5.000000000000143e-05,78.65
0.021990,0.021947,632,256,7.000000000000062e-06,66.08
0.022014,0.021953,647,281,2.5999999999998247e-05,70.31
0.022013,0.021959,515,299,-2.5999999999998247e-05,69.92
0.021973,0.021960,333,304,-6.300000000000056e-05,56.40
0.021977,0.021962,258,311,-5.4999999999999494e-05,57.29
0.021974,0.021963,249,314,-5.4999999999999494e-05,56.36
0.021980,0.021965,264,314,-4.60000000000009e-05,57.83
0.021991,0.021967,189,307,-3.200000000000078e-05,60.47
0.021982,0.021968,136,305,-3.899999999999737e-05,57.31
0.022027,0.021974,381,318,7.200000000000262e-05,66.67
0.022022,0.021979,430,332,6.300000000000056e-05,64.97
0.022018,0.021982,260,331,5.4999999999999494e-05,63.57
0.022021,0.021986,528,345,5.3999999999998494e-05,64.19
0.022006,0.021988,239,348,3.500000000000031e-05,58.78
0.022002,0.021989,266,334,2.6999999999999247e-05,57.39
0.022003,0.021991,152,334,2.5000000000000716e-05,57.66
0.022028,0.021994,593,358,4.599999999999743e-05,63.82
0.022015,0.021996,151,358,2.9999999999998778e-05,59.01
0.022006,0.021997,137,333,1.8000000000000654e-05,55.87
0.021994,0.021997,147,325,2.999999999999531e-06,51.91
0.021992,0.021996,101,299,-7.099999999999815e-05,51.25
0.022001,0.021997,185,276,-5.9000000000000025e-05,54.05
0.021995,0.021997,106,255,-6.199999999999956e-05,51.91
0.021996,0.021997,318,254,-5.5999999999997024e-05,52.25
0.021990,0.021996,390,261,-5.300000000000096e-05,49.97
0.021991,0.021995,141,256,-4.49999999999999e-05,50.36
0.021997,0.021996,169,251,-3.099999999999978e-05,52.73
0.021987,0.021995,158,249,-3.500000000000031e-05,48.57
0.021982,0.021994,147,250,-3.399999999999931e-05,46.58
0.021998,0.021994,101,236,-1.5999999999998654e-05,53.17
0.022019,0.021996,236,226,7.199999999999915e-05,60.12
0.022008,0.021997,99,218,5.9000000000000025e-05,55.48
0.022025,0.022000,284,206,7.300000000000015e-05,60.55
0.022003,0.022000,319,210,4.60000000000009e-05,52.25
0.022010,0.022001,200,207,4.799999999999943e-05,54.39
0.022002,0.022001,181,208,3.500000000000031e-05,51.55
0.022003,0.022002,116,184,3.200000000000078e-05,51.89
0.022035,0.022005,909,222,5.4999999999999494e-05,61.23
0.022047,0.022009,386,235,5.9000000000000025e-05,64.05
0.022040,0.022012,351,245,4.39999999999989e-05,61.25
0.022054,0.022016,347,257,5.099999999999896e-05,64.58
0.022034,0.022017,415,269,2.5000000000000716e-05,57.04
0.022051,0.022021,294,278,3.600000000000131e-05,61.19
0.022037,0.022022,338,279,1.6999999999999654e-05,56.36
0.022050,0.022025,244,272,2.5000000000000716e-05,59.55
0.022039,0.022026,247,277,1.1000000000000593e-05,55.83
0.022040,0.022028,293,283,8.000000000001062e-06,56.10
0.022051,0.022030,284,290,-3.199999999999731e-05,59.05
0.022070,0.022034,439,304,-1.2000000000001593e-05,63.60
0.022055,0.022036,772,338,2.8000000000000247e-05,58.11
0.022059,0.022038,258,339,2.9999999999998778e-05,59.12
0.022044,0.022038,481,358,-6.699999999999762e-05,53.86
0.022034,0.022038,167,352,-7.499999999999868e-05,50.63
0.022038,0.022038,469,360,-6.800000000000209e-05,51.87
0.022042,0.022038,397,369,-6.0000000000001025e-05,53.14
0.022045,0.022039,257,373,-5.400000000000196e-05,54.12
0.022040,0.022039,207,378,-5.4999999999999494e-05,52.17
0.022037,0.022039,168,341,-5.4999999999999494e-05,50.97
0.022048,0.022040,378,340,-4.099999999999937e-05,55.03
0.022051,0.022041,191,332,-3.500000000000031e-05,56.10
0.022047,0.022041,192,325,-3.599999999999784e-05,54.25
0.022038,0.022041,256,317,-4.300000000000137e-05,50.24
0.022041,0.022041,271,315,-3.699999999999884e-05,51.53
0.022056,0.022043,222,310,-1.9999999999999185e-05,57.45
0.022055,0.022044,162,306,-1.7999999999997185e-05,56.95
0.022050,0.022044,174,302,-2.1000000000000185e-05,54.40
0.022055,0.022045,1514.0,363,6.700000000000109e-05,56.50
0.022028,0.022044,615,379,3.799999999999984e-05,44.58
0.022013,0.022041,366,376,2.1000000000000185e-05,39.59
0.021999,0.022037,290,352,5.000000000001531e-06,35.58
0.022009,0.022034,407,359,-7.300000000000015e-05,40.23
0.022028,0.022034,270,349,-5.199999999999996e-05,47.93
0.022019,0.022032,199,350,-5.9000000000000025e-05,44.98
0.022034,0.022032,265,340,-4.19999999999969e-05,50.46
0.022044,0.022033,302,335,-2.9999999999998778e-05,53.76
0.022045,0.022035,229,334,-2.7000000000002716e-05,54.09
0.022034,0.022034,229,335,-3.599999999999784e-05,49.88
0.022052,0.022036,479,350,-1.6999999999999654e-05,55.93
0.022041,0.022037,236,343,-2.5999999999998247e-05,51.81
0.022034,0.022036,637,366,-3.099999999999978e-05,49.32
0.022028,0.022036,297,371,-3.500000000000031e-05,47.23
0.022087,0.022040,676,392,0.00010699999999999946,63.60
0.022095,0.022046,1159.0,436,0.00010900000000000146,65.17
0.022081,0.022049,438,447,8.99999999999998e-05,60.25
0.022074,0.022051,367,457,7.700000000000068e-05,57.90
0.022067,0.022053,232,460,6.499999999999909e-05,55.56
0.022066,0.022054,238,396,5.9000000000000025e-05,55.22
0.022073,0.022056,335,382,6.0999999999998555e-05,57.21
0.022062,0.022057,190,374,4.599999999999743e-05,53.21
0.022049,0.022056,237,371,2.8999999999997778e-05,48.86
0.022047,0.022055,248,363,2.2000000000001185e-05,48.20
0.022068,0.022056,233,361,3.900000000000084e-05,55.00
0.022039,0.022055,645,384,7.000000000000062e-06,46.02
0.022060,0.022055,203,380,2.3999999999999716e-05,52.12
0.022029,0.022053,366,384,-9.599999999999886e-05,44.18
0.022033,0.022051,268,386,-8.99999999999998e-05,45.34
0.022061,0.022052,236,386,-5.9999999999997555e-05,52.72
0.022056,0.022052,164,370,-6.300000000000056e-05,51.39
0.022067,0.022054,397,378,-5.000000000000143e-05,54.14
0.022066,0.022055,315,362,-4.900000000000043e-05,53.84
0.022035,0.022053,227,359,-7.800000000000168e-05,45.47
0.022031,0.022051,277,339,-8.100000000000121e-05,44.51
0.022045,0.022050,174,290,-6.500000000000256e-05,48.61
0.022055,0.022051,160,276,-5.2999999999997494e-05,51.37
0.022034,0.022049,344,274,-7.199999999999915e-05,45.80
0.022036,0.022048,442,285,-6.700000000000109e-05,46.40
0.022042,0.022047,184,282,-5.7000000000001494e-05,48.24
0.022041,0.022047,279,280,-5.3999999999998494e-05,47.94
0.022032,0.022045,289,284,-6.0000000000001025e-05,45.26
0.022013,0.022042,206,283,-7.599999999999968e-05,40.15
0.022019,0.022040,187,280,-6.499999999999909e-05,42.36
0.022037,0.022040,152,276,-4.29999999999979e-05,48.51
0.022039,0.022040,257,256,-3.699999999999884e-05,49.16
0.022041,0.022040,84,250,-3.099999999999978e-05,49.84
0.022032,0.022039,192,242,-3.600000000000131e-05,46.80
0.022034,0.022039,96,233,-3.099999999999978e-05,47.57
0.022030,0.022038,180,230,-3.199999999999731e-05,46.14
0.022041,0.022038,209,233,-1.6999999999999654e-05,50.54
0.022037,0.022038,518,239,-2.1000000000000185e-05,48.97
0.022031,0.022037,157,231,-2.4000000000003185e-05,46.64
0.022038,0.022037,350,237,-1.5000000000001124e-05,49.65
0.022043,0.022038,455,246,-7.000000000000062e-06,51.75
0.022049,0.022039,213,248,-1.000000000001e-06,54.22
0.022045,0.022040,578,269,3.399999999999931e-05,52.30
0.022050,0.022041,310,267,3.799999999999984e-05,54.47
0.022040,0.022040,273,258,2.6999999999999247e-05,49.61
0.022062,0.022043,324,265,4.699999999999843e-05,58.40
0.022076,0.022046,201,262,5.6999999999998024e-05,62.84
0.022075,0.022049,440,269,5.000000000000143e-05,62.33
0.022080,0.022052,220,270,4.999999999999796e-05,63.91
0.022070,0.022053,186,270,3.500000000000031e-05,58.61
0.022090,0.022057,385,281,4.999999999999796e-05,64.89
0.022086,0.022060,510,294,3.900000000000084e-05,62.83
0.022091,0.022063,338,307,3.599999999999784e-05,64.35
0.022103,0.022066,517,323,3.900000000000084e-05,67.76
0.022104,0.022070,385,337,2.9999999999998778e-05,68.03
0.022116,0.022074,290,343,3.200000000000078e-05,71.19
0.022123,0.022079,375,351,2.9999999999998778e-05,72.88
0.022124,0.022083,339,342,2.3000000000002185e-05,73.12
0.022119,0.022087,203,345,1.1999999999998123e-05,69.77
0.022123,0.022093,510,358,-9.999999999999593e-06,71.00
0.022105,0.022094,526,374,-2.6999999999999247e-05,59.28
0.022103,0.022095,188,354,-2.6999999999999247e-05,58.13
0.022085,0.022094,314,354,-4.29999999999979e-05,48.94
0.022092,0.022094,272,354,-3.200000000000078e-05,52.11
0.022093,0.022094,147,346,-2.6999999999999247e-05,52.57
0.022096,0.022094,219,347,-2.1000000000000185e-05,53.97
0.022106,0.022095,487,349,-9.999999999999593e-06,58.40
0.022095,0.022095,206,348,-1.8000000000000654e-05,52.43
0.022092,0.022095,131,345,-1.8000000000000654e-05,50.90
0.022088,0.022094,196,336,-1.9999999999999185e-05,48.85
0.022076,0.022092,299,325,-2.9000000000001247e-05,43.23
0.022081,0.022091,143,316,-2.1000000000000185e-05,46.02
0.022044,0.022087,451,312,-4.999999999999796e-05,33.08
0.022066,0.022085,577,322,-1.9000000000001654e-05,43.29
0.022087,0.022085,312,323,5.3999999999998494e-05,50.98
0.022083,0.022085,719,340,4.699999999999843e-05,49.60
0.022071,0.022084,173,332,3.300000000000178e-05,45.61
0.022039,0.022079,236,334,-5.7000000000001494e-05,37.06
0.022062,0.022078,354,323,-3.100000000000325e-05,45.04
0.022050,0.022075,865,341,-4.099999999999937e-05,42.04
0.022049,0.022073,243,327,-3.900000000000084e-05,41.79
0.022023,0.022068,304,332,-6.0999999999998555e-05,35.84
0.022005,0.022062,513,342,-7.199999999999915e-05,32.40
0.022021,0.022058,711,364,-5.000000000000143e-05,38.09
0.022014,0.022054,426,378,-4.799999999999943e-05,36.64
0.022071,0.022055,355,385,9.20000000000018e-05,52.52
0.022033,0.022053,488,385,5.000000000000143e-05,44.51
0.021996,0.022048,307,390,9.000000000002062e-06,38.37
0.022032,0.022046,1194.0,443,-4.39999999999989e-05,46.15
0.022074,0.022049,1972.0,532,9.99999999999994e-05,53.52
0.022081,0.022052,1532.0,594,0.0001010000000000004,54.64
0.022233,0.022069,5479.0,861,0.0002349999999999991,70.93
0.022215,0.022083,2287.0,952,0.0001999999999999988,67.83
0.022220,0.022096,2788.0,1063.0,0.00018299999999999914,68.24
0.022223,0.022108,618,1078.0,0.00016499999999999848,68.51
0.022238,0.022121,779,1081.0,0.00016200000000000242,69.85
0.022410,0.022148,4027.9999999999995,1274.0,0.00029599999999999765,80.26
0.022344,0.022167,1187.0,1321.0,0.0001899999999999992,70.24
0.022355,0.022185,734,1340.0,0.00016499999999999848,70.89
0.022364,0.022202,697,1332.0,0.00014199999999999977,71.44
0.022351,0.022216,375,1339.0,0.0001010000000000004,69.40
0.022321,0.022226,653,1356.0,4.70000000000019e-05,64.79
0.022317,0.022235,393,1350.0,2.2000000000001185e-05,64.17
0.022326,0.022243,607,1345.0,2.9999999999998778e-05,64.98
0.022345,0.022253,473,1347.0,2.9999999999998778e-05,66.67
0.022328,0.022260,545,1357.0,4.000000000000531e-06,63.70
0.022335,0.022267,256,1345.0,8.000000000001062e-06,64.40
0.022341,0.022274,324,1346.0,1.1000000000000593e-05,65.03
0.022364,0.022283,789,1326.0,2.3999999999999716e-05,67.40
0.022397,0.022294,837,1269.0,4.300000000000137e-05,70.48
0.022380,0.022302,646,1225.0,1.9000000000001654e-05,66.97
0.022375,0.022309,204,961,1.1999999999998123e-05,65.92
0.022374,0.022315,201,857,1.0000000000003062e-05,65.70
0.022367,0.022320,306,733,1.000000000001e-06,64.09
0.022368,0.022325,392,721,-8.500000000000174e-05,64.22
0.022365,0.022328,149,690,-8.400000000000074e-05,63.45
0.022338,0.022329,315,504,-0.00010399999999999993,56.83
0.022366,0.022333,160,453,-6.899999999999962e-05,61.34
0.022351,0.022335,205,426,-7.800000000000168e-05,57.86
0.022327,0.022334,181,401,-9.400000000000033e-05,52.70
0.022310,0.022332,601,412,-9.89999999999984e-05,49.35
0.022300,0.022329,744,416,-9.400000000000033e-05,47.43
0.022289,0.022325,1000.0,447,-8.700000000000027e-05,45.35
0.022279,0.022320,376,435,-8.100000000000121e-05,43.48
0.022273,0.022312,501,451,-6.199999999999956e-05,42.27
0.022278,0.022309,384,457,-4.49999999999999e-05,43.68
0.022292,0.022307,395,461,-1.9999999999999185e-05,47.54
0.022298,0.022307,717,457,-9.000000000002062e-06,49.15
0.022290,0.022305,479,439,-1.4000000000000123e-05,47.08
0.022293,0.022304,651,439,-8.000000000001062e-06,47.96
0.022311,0.022305,441,451,5.300000000000096e-05,53.04
0.022340,0.022308,363,459,7.899999999999921e-05,59.85
0.022377,0.022314,760,482,0.00010699999999999946,66.51
0.022354,0.022318,674,496,7.300000000000015e-05,59.86
0.022366,0.022323,176,497,7.500000000000215e-05,62.00
0.022371,0.022327,161,490,6.999999999999715e-05,62.88
0.022360,0.022330,153,489,5.000000000000143e-05,59.59
0.022381,0.022335,253,492,6.300000000000056e-05,63.52
0.022371,0.022339,83,487,4.599999999999743e-05,60.50
0.022373,0.022345,101,438,3.399999999999931e-05,60.93
0.022380,0.022348,189,398,3.600000000000131e-05,62.47
0.022400,0.022353,333,395,4.900000000000043e-05,66.53
0.022380,0.022360,307,372,1.6999999999999654e-05,59.11
0.022461,0.022369,1490.0,428,8.79999999999978e-05,72.49
0.022400,0.022372,681,442,1.5000000000001124e-05,57.29
0.022390,0.022374,335,423,1.9999999999985307e-06,55.24
0.022373,0.022374,253,411,-9.99999999999994e-05,51.86
0.022390,0.022375,219,390,-7.899999999999921e-05,54.84
0.022374,0.022375,330,384,-8.79999999999978e-05,51.60
0.022375,0.022375,762,404,-7.700000000000068e-05,51.79
0.022365,0.022374,126,373,-7.899999999999921e-05,49.67
0.022402,0.022377,255,352,-3.400000000000278e-05,56.73
0.022395,0.022379,140,350,-3.399999999999931e-05,55.15
0.022401,0.022381,171,350,-2.1000000000000185e-05,56.27
0.022386,0.022381,144,350,-2.9999999999998778e-05,52.72
0.022353,0.022379,192,347,-5.7999999999999025e-05,45.87
0.022312,0.022372,248,355,-8.800000000000127e-05,39.08
0.022320,0.022367,245,354,-6.899999999999962e-05,40.92
0.022328,0.022364,259,362,-4.999999999999796e-05,42.78
0.022323,0.022360,101,357,-4.60000000000009e-05,41.89
0.022328,0.022357,281,355,-3.299999999999831e-05,43.16
0.022326,0.022354,357,345,-2.7000000000002716e-05,42.76
0.022308,0.022349,131,336,-3.899999999999737e-05,39.21
0.022324,0.022347,243,274,-1.8000000000000654e-05,43.68
0.022326,0.022345,242,252,-1.1000000000000593e-05,44.23
0.022331,0.022344,141,242,2.9999999999998778e-05,45.67
0.022351,0.022344,237,241,4.799999999999943e-05,51.09
0.022339,0.022344,126,237,3.300000000000178e-05,47.99
0.022343,0.022344,122,226,3.399999999999931e-05,49.10
0.022321,0.022342,465,211,8.000000000001062e-06,43.61
