price,ema20,vol,vol_ema,sar,rsi
0.020706,0.020712,510,792,0.00015799999999999842,47.20
0.020705,0.020712,511,792,0.0001570000000000009,47.05
0.019782,0.019779,373,184,-2.8999999999997778e-05,55.40
0.019804,0.019782,120,178,-6.000000000002531e-06,63.24
0.019800,0.019783,114,177,2.2000000000001185e-05,61.14
0.019812,0.019786,110,172,3.200000000000078e-05,64.91
0.019808,0.019788,313,183,2.6999999999999247e-05,62.72
0.019805,0.019790,103,175,2.2999999999998716e-05,61.06
0.019792,0.019790,380,186,8.000000000001062e-06,54.35
0.019791,0.019790,174,190,5.999999999999062e-06,53.86
0.019774,0.019789,612,213,-4.200000000000037e-05,46.22
0.019772,0.019787,272,220,-4.19999999999969e-05,45.40
0.019761,0.019784,136,222,-4.900000000000043e-05,41.10
0.019772,0.019783,110,220,-3.500000000000031e-05,46.55
0.019797,0.019785,524,236,-8.000000000001062e-06,56.42
0.019789,0.019785,364,245,-1.4000000000000123e-05,53.05
0.019796,0.019786,244,252,3.900000000000084e-05,55.55
0.019789,0.019786,314,239,3.099999999999978e-05,52.53
0.019798,0.019787,165,243,3.900000000000084e-05,55.85
0.019796,0.019788,197,246,3.600000000000131e-05,54.93
0.019800,0.019789,504,261,3.800000000000331e-05,56.48
0.019806,0.019791,234,268,4.099999999999937e-05,58.76
0.019808,0.019793,125,256,3.900000000000084e-05,59.52
0.019802,0.019793,217,261,2.9000000000001247e-05,56.17
0.019803,0.019794,79,259,2.7000000000002716e-05,56.61
0.019800,0.019795,164,262,2.0000000000002655e-05,54.84
0.019798,0.019795,178,255,1.4000000000000123e-05,53.63
0.019796,0.019795,209,260,9.000000000002062e-06,52.39
0.019807,0.019796,189,251,1.7000000000003124e-05,58.13
0.019795,0.019796,112,248,2.999999999999531e-06,50.92
0.019783,0.019795,418,238,-3.200000000000078e-05,44.51
0.019779,0.019793,278,245,-3.299999999999831e-05,42.59
0.019773,0.019791,130,246,-3.500000000000031e-05,39.81
0.019767,0.019789,245,232,-3.600000000000131e-05,37.20
0.019776,0.019788,200,224,-2.2000000000001185e-05,43.22
0.019758,0.019785,148,219,-3.399999999999931e-05,35.82
0.019735,0.019780,666,237,-4.799999999999943e-05,28.99
0.019747,0.019777,158,237,-2.5999999999998247e-05,35.86
0.019759,0.019775,204,237,-8.000000000001062e-06,41.91
0.019751,0.019773,126,218,-1.4999999999997654e-05,39.26
0.019743,0.019770,340,223,-1.5999999999998654e-05,36.75
0.019745,0.019768,297,232,-8.000000000001062e-06,37.82
0.019742,0.019765,92,226,-8.000000000001062e-06,36.81
0.019748,0.019764,119,228,-9.999999999975306e-07,40.24
0.019741,0.019762,249,232,1.5000000000001124e-05,37.67
0.019756,0.019761,133,230,2.8999999999997778e-05,45.67
0.019750,0.019760,126,225,2.1000000000000185e-05,43.27
0.019766,0.019761,196,226,3.399999999999931e-05,50.69
0.019781,0.019763,131,220,3.999999999999837e-05,56.83
0.019767,0.019763,249,212,1.9999999999999185e-05,50.51
0.019753,0.019762,223,209,1.000000000001e-06,45.11
0.019749,0.019761,182,212,-3.300000000000178e-05,43.67
0.019755,0.019760,146,207,-2.5999999999998247e-05,46.43
0.019758,0.019760,212,207,-2.2999999999998716e-05,47.80
0.019757,0.019760,102,205,-2.2999999999998716e-05,47.37
0.019765,0.019760,108,177,-1.4000000000000123e-05,51.21
0.019774,0.019762,228,181,2.9000000000001247e-05,55.17
0.019787,0.019764,199,180,3.999999999999837e-05,60.19
0.019793,0.019767,396,194,4.300000000000137e-05,62.30
0.019790,0.019769,232,188,3.599999999999784e-05,60.57
0.019799,0.019774,155,189,3.600000000000131e-05,64.03
0.019793,0.019776,144,190,2.5000000000000716e-05,60.24
0.019791,0.019777,239,189,1.8000000000000654e-05,58.98
0.019777,0.019777,224,194,4.000000000000531e-06,50.98
0.019765,0.019776,248,200,-3.999999999999837e-05,45.30
0.019790,0.019777,188,200,-1.3000000000002593e-05,56.24
0.019778,0.019777,166,200,-2.2999999999998716e-05,50.97
0.019782,0.019778,117,200,-1.8000000000000654e-05,52.56
0.019775,0.019777,121,193,-2.2999999999998716e-05,49.53
0.019780,0.019778,241,194,-1.6999999999999654e-05,51.68
0.019781,0.019778,261,198,-1.4000000000000123e-05,52.11
0.019782,0.019778,227,202,-1.1999999999998123e-05,52.58
0.019784,0.019779,193,201,2.3999999999999716e-05,53.55
0.019793,0.019780,133,203,3.100000000000325e-05,57.73
0.019795,0.019782,179,206,3.099999999999978e-05,58.62
0.019803,0.019784,161,203,3.500000000000031e-05,62.07
0.019808,0.019788,132,186,3.299999999999831e-05,64.23
0.019800,0.019789,388,193,2.1000000000000185e-05,58.49
0.019806,0.019790,227,193,2.2000000000001185e-05,61.28
0.019807,0.019792,163,193,2.0000000000002655e-05,61.75
0.019808,0.019794,197,196,1.6999999999999654e-05,62.23
0.019816,0.019796,207,194,2.2000000000001185e-05,65.96
0.019825,0.019800,279,198,2.3999999999999716e-05,69.84
0.019828,0.019803,148,196,2.2999999999998716e-05,71.02
0.019827,0.019805,263,201,1.9000000000001654e-05,70.03
0.019832,0.019808,398,215,1.9999999999999185e-05,72.12
0.019830,0.019810,233,221,1.5000000000001124e-05,70.02
0.019818,0.019811,208,219,9.999999999975306e-07,58.92
0.019834,0.019813,182,215,-4.000000000000531e-06,66.54
0.019844,0.019816,264,217,3.0000000000002247e-05,70.25
0.019841,0.019818,231,219,2.5000000000000716e-05,67.82
0.019842,0.019820,603,242,2.4999999999997247e-05,68.21
0.019858,0.019824,521,260,3.799999999999984e-05,73.76
0.019874,0.019829,759,290,4.900000000000043e-05,77.91
0.019852,0.019831,776,323,2.2000000000001185e-05,63.12
0.019884,0.019836,325,332,4.900000000000043e-05,71.58
0.019880,0.019840,254,326,4.099999999999937e-05,69.43
