Price,SAR,Klinger1,Klinger2
0.01734,0.017358,-2.0,-10.0
0.017341,0.017358,-2.0,-10.0
0.0164,0.016376,28.0,42.0
0.016408,0.016378,27.0,40.0
0.016396,0.016381,5.0,32.0
0.016382,0.016381,-2.0,27.0
0.01638,0.016418,-25.0,20.0
0.016383,0.016417,-12.0,15.0
0.016401,0.01637,17.0,16.0
0.016397,0.016372,7.0,14.0
0.016393,0.016373,-2.0,12.0
0.016399,0.016375,-9.0,9.0
0.016415,0.016376,-4.0,7.0
0.016409,0.016379,-10.0,4.0
0.016408,0.01638,-14.0,1.0
0.016407,0.016381,-18.0,-2.0
0.016403,0.016383,-26.0,-5.0
0.016391,0.016384,-36.0,-10.0
0.016395,0.016447,-41.0,-14.0
0.016387,0.016444,-44.0,-18.0
0.016378,0.01644,-45.0,-22.0
0.016371,0.016434,-46.0,-26.0
0.016382,0.016429,-41.0,-28.0
0.01638,0.016424,-41.0,-30.0
0.01637,0.016413,-37.0,-33.0
0.016353,0.016405,-40.0,-34.0
0.016342,0.016396,-43.0,-35.0
0.016362,0.016388,-37.0,-35.0
0.016359,0.016381,-33.0,-35.0
0.016361,0.016374,-33.0,-35.0
0.016344,0.016369,-34.0,-35.0
0.016342,0.016365,-34.0,-35.0
0.016338,0.016359,-40.0,-35.0
0.016349,0.016356,-35.0,-35.0
0.016365,0.016332,-24.0,-33.0
0.016391,0.016336,-12.0,-30.0
0.016419,0.016344,-5.0,-26.0
0.016406,0.016358,-9.0,-22.0
0.016419,0.016358,-9.0,-22.0
0.016379,0.016433,-33.0,-25.0
0.016373,0.016431,-35.0,-27.0
0.016368,0.01643,-38.0,-28.0
0.016371,0.016426,-25.0,-28.0
0.016379,0.016424,-20.0,-27.0
0.016373,0.016423,-22.0,-26.0
0.016375,0.016421,-23.0,-26.0
0.016376,0.01642,-17.0,-25.0
0.016377,0.016416,-6.0,-20.0
0.016384,0.016415,-2.0,-17.0
0.016391,0.016412,2.0,-12.0
0.016371,0.016411,-1.0,-11.0
0.016382,0.016409,1.0,-9.0
0.016456,0.016342,63.0,1.0
0.016497,0.016348,41.0,7.0
0.016506,0.016354,43.0,12.0
0.01651,0.016359,46.0,17.0
0.016458,0.016365,17.0,17.0
0.016465,0.01637,12.0,16.0
0.016452,0.016376,2.0,14.0
0.016464,0.016381,5.0,13.0
0.01648,0.016386,10.0,12.0
0.016497,0.016391,13.0,13.0
0.016492,0.016396,17.0,13.0
0.016491,0.016401,11.0,13.0
0.016496,0.01641,7.0,11.0
0.016495,0.016415,11.0,11.0
0.016508,0.016419,15.0,11.0
0.016518,0.016428,20.0,13.0
0.016515,0.016432,11.0,13.0
0.016506,0.016436,4.0,12.0
0.016513,0.01644,6.0,11.0
0.016537,0.016448,19.0,12.0
0.016542,0.016455,22.0,14.0
0.016527,0.016459,13.0,14.0
0.016515,0.016463,5.0,13.0
0.01653,0.016469,12.0,12.0
0.016532,0.016473,2.0,11.0
0.016553,0.016476,6.0,10.0
0.016577,0.016479,17.0,11.0
0.016567,0.016482,1.0,10.0
0.016598,0.016486,28.0,12.0
0.016602,0.016489,36.0,16.0
0.016642,0.016504,44.0,23.0
0.016637,0.016515,47.0,27.0
0.016627,0.016525,34.0,28.0
0.016616,0.016535,18.0,26.0
0.01664,0.016544,21.0,26.0
0.016621,0.016554,9.0,23.0
0.016612,0.016564,-2.0,20.0
0.0166,0.016572,-15.0,15.0
0.016605,0.016579,-36.0,7.0
0.016621,0.016586,-28.0,2.0
0.016636,0.016592,-17.0,-0.0
0.016632,0.016599,-0.0,-0.0
0.016648,0.016606,6.0,0.0
0.016653,0.016614,16.0,3.0
0.01666,0.016623,40.0,8.0
0.016729,0.016643,63.0,16.0
0.016689,0.016662,39.0,19.0
0.01671,0.016683,68.0,26.0
0.016724,0.0167,74.0,33.0
0.01678,0.016714,88.0,41.0
0.016835,0.016745,112.0,51.0
0.016989,0.016863,254.0,101.0
0.016973,0.016905,158.0,109.0
0.016952,0.016939,194.0,121.0
0.016935,0.01707,123.0,121.0
0.016987,0.017067,162.0,127.0
0.017032,0.016894,211.0,144.0
0.017142,0.016905,258.0,161.0
0.017113,0.016915,168.0,162.0
0.017139,0.016925,177.0,164.0
0.017117,0.016935,176.0,166.0
0.017045,0.016944,133.0,161.0
0.017053,0.016953,96.0,152.0
0.017061,0.016962,91.0,143.0
0.01702,0.016978,42.0,119.0
0.017051,0.016986,55.0,110.0
0.017067,0.016993,67.0,104.0
0.017057,0.017,73.0,100.0
0.017069,0.017006,66.0,95.0
0.017095,0.017013,65.0,91.0
0.017109,0.017019,74.0,88.0
0.017128,0.017025,67.0,85.0
0.01714,0.017031,73.0,84.0
0.017143,0.017036,65.0,81.0
0.01712,0.017041,16.0,72.0
0.017122,0.017046,-25.0,58.0
0.017114,0.017051,-37.0,44.0
0.017156,0.017056,-19.0,35.0
0.017149,0.017068,-3.0,23.0
0.017116,0.017075,-22.0,17.0
0.017102,0.017082,-37.0,9.0
0.017133,0.017088,9.0,9.0
0.017106,0.017094,-9.0,7.0
0.017091,0.017186,-22.0,2.0
0.017083,0.017182,-35.0,-3.0
0.017096,0.017176,-37.0,-8.0
0.017019,0.017161,-68.0,-16.0
0.017015,0.017148,-77.0,-25.0
0.017035,0.017136,-69.0,-31.0
0.017023,0.017125,-76.0,-38.0
0.017049,0.017105,-75.0,-46.0
0.016993,0.017086,-106.0,-59.0
0.016992,0.017076,-115.0,-67.0
0.017012,0.017068,-103.0,-73.0
0.01703,0.01706,-98.0,-76.0
0.017081,0.016989,-88.0,-78.0
0.017051,0.016993,-95.0,-80.0
0.017041,0.016997,-99.0,-83.0
0.017025,0.017004,-106.0,-89.0
0.017032,0.017011,-101.0,-93.0
0.01702,0.017091,-101.0,-94.0
0.017044,0.017084,-72.0,-89.0
0.017068,0.01708,-57.0,-85.0
0.017075,0.016997,-54.0,-80.0
0.017082,0.017001,-48.0,-76.0
0.017092,0.017006,-43.0,-71.0
0.017075,0.017014,-49.0,-68.0
0.017095,0.017023,-42.0,-64.0
0.01711,0.017034,-37.0,-60.0
0.01706,0.017043,-44.0,-58.0
0.017083,0.017048,-54.0,-57.0
0.017073,0.017056,-43.0,-55.0
0.017017,0.017112,-51.0,-55.0
0.017004,0.017102,-51.0,-54.0
0.016988,0.017097,-55.0,-54.0
0.017002,0.017092,-49.0,-54.0
0.017003,0.017088,-41.0,-52.0
0.016997,0.017084,-45.0,-51.0
0.017,0.017079,-27.0,-47.0
0.016987,0.017073,-37.0,-46.0
0.016989,0.017057,-50.0,-46.0
0.017,0.017041,-34.0,-44.0
0.016996,0.017034,-31.0,-42.0
0.017007,0.017033,-21.0,-39.0
0.01699,0.017027,-25.0,-37.0
0.017002,0.017022,-23.0,-35.0
0.016999,0.016973,-13.0,-32.0
0.016985,0.016974,-22.0,-31.0
0.017064,0.016978,-17.0,-29.0
0.017079,0.016993,-10.0,-24.0
0.017075,0.017002,-15.0,-23.0
0.01708,0.017009,-20.0,-23.0
0.017043,0.017017,-32.0,-24.0
0.01702,0.017019,-35.0,-25.0
0.017021,0.0171,-35.0,-27.0
0.017018,0.017097,-36.0,-28.0
0.01704,0.017087,-21.0,-27.0
0.017052,0.017074,-32.0,-30.0
0.017043,0.01707,-35.0,-31.0
0.017042,0.017067,-30.0,-30.0
0.017025,0.01706,-32.0,-31.0
0.017028,0.017058,-28.0,-30.0
0.01702,0.017055,-25.0,-30.0
0.017022,0.017052,-27.0,-29.0
0.01702,0.01705,-29.0,-29.0
0.017001,0.017045,-36.0,-30.0
0.017009,0.017041,-37.0,-31.0
0.01701,0.017037,-33.0,-31.0
0.017008,0.01703,-34.0,-32.0
0.017011,0.017027,-27.0,-31.0
0.017016,0.017025,-18.0,-29.0
0.017033,0.016993,-14.0,-27.0
0.017044,0.016997,-7.0,-22.0
0.017036,0.016999,-9.0,-20.0
0.017035,0.017001,-12.0,-19.0
0.01705,0.017006,-7.0,-16.0
0.017052,0.017009,-5.0,-14.0
0.017071,0.017014,-1.0,-13.0
0.017209,0.01705,63.0,0.0
0.017279,0.017084,96.0,14.0
0.017311,0.017125,137.0,32.0
0.017272,0.01716,102.0,42.0
0.017284,0.017245,192.0,71.0
0.017377,0.017291,135.0,80.0
0.017369,0.01732,87.0,81.0
0.017357,0.017339,63.0,78.0
0.017408,0.017343,89.0,80.0
0.017291,0.0175,52.0,76.0
0.01729,0.017491,29.0,69.0
0.01731,0.017476,39.0,65.0
0.017344,0.017463,49.0,63.0
0.017305,0.017451,33.0,58.0
0.017297,0.017439,16.0,52.0
0.017321,0.017417,7.0,40.0
0.01729,0.017408,-2.0,34.0
0.017267,0.017399,-17.0,27.0
0.017261,0.01739,-28.0,19.0
0.017215,0.017358,-48.0,3.0
0.017204,0.017337,-26.0,-1.0
0.017236,0.017316,-17.0,-4.0
0.017242,0.017297,-11.0,-5.0
0.01724,0.017281,-1.0,-4.0
0.01726,0.017184,9.0,-2.0
0.01724,0.017186,-24.0,-5.0
0.017253,0.01719,-27.0,-11.0
0.017255,0.017192,-35.0,-14.0
0.017282,0.017194,-26.0,-16.0
0.01724,0.017197,-46.0,-22.0
0.017244,0.017199,-51.0,-27.0
0.01724,0.017201,-57.0,-31.0
0.017253,0.017203,-42.0,-33.0
0.017266,0.017204,-36.0,-33.0
0.017257,0.017206,-40.0,-34.0
0.01727,0.017208,-36.0,-34.0
0.017262,0.017209,-38.0,-35.0
0.017263,0.017211,-39.0,-35.0
0.017252,0.017212,-41.0,-36.0
0.017259,0.017214,-43.0,-37.0
0.017262,0.017215,-39.0,-37.0
0.017226,0.017217,-43.0,-38.0
0.017225,0.017286,-47.0,-39.0
0.017242,0.017283,-32.0,-38.0
0.017243,0.017283,-32.0,-38.0
0.017231,0.017282,-34.0,-38.0
0.017211,0.017279,-35.0,-37.0
0.017202,0.017274,-38.0,-38.0
0.017215,0.017268,-32.0,-37.0
0.017226,0.017262,-25.0,-35.0
0.017233,0.017256,-18.0,-32.0
0.01722,0.017251,-23.0,-31.0
0.017238,0.017193,-14.0,-29.0
0.017236,0.017194,-18.0,-27.0
0.017212,0.017197,-52.0,-31.0
0.017233,0.017198,-35.0,-32.0
0.017224,0.017199,-29.0,-31.0
0.017271,0.017274,9.0,-26.0
0.017208,0.017171,-7.0,-23.0
0.01721,0.017173,-15.0,-22.0
0.017223,0.017175,-7.0,-20.0
0.01723,0.017177,1.0,-17.0
0.017227,0.017179,-7.0,-15.0
0.01722,0.017181,-15.0,-15.0
0.01723,0.017183,-4.0,-14.0
0.017224,0.017185,-9.0,-13.0
0.017231,0.017186,-4.0,-12.0
0.017226,0.017188,-12.0,-12.0
0.017227,0.01719,-8.0,-11.0
0.017236,0.017192,-3.0,-10.0
0.017244,0.017193,5.0,-8.0
0.017257,0.017195,7.0,-6.0
0.017271,0.017203,39.0,5.0
0.01727,0.017206,8.0,6.0
0.017274,0.017211,-4.0,3.0
0.017271,0.017214,-11.0,1.0
0.017278,0.017218,-5.0,-0.0
0.017314,0.017229,17.0,2.0
0.017308,0.017238,7.0,3.0
0.017286,0.017247,-4.0,2.0
0.017304,0.017255,2.0,2.0
0.017321,0.017263,8.0,3.0
0.017335,0.017269,12.0,4.0
0.017317,0.017279,-1.0,3.0
0.017293,0.017281,-9.0,2.0
0.017301,0.01745,244.0,36.0
0.017285,0.017443,93.0,65.0
0.017282,0.017439,96.0,69.0
0.017278,0.017436,66.0,69.0
0.017308,0.017433,84.0,71.0
0.017323,0.017429,86.0,73.0
0.017328,0.017423,67.0,70.0
0.017309,0.01742,46.0,67.0
0.017322,0.017417,45.0,64.0
0.017313,0.017414,31.0,59.0
0.017285,0.017408,3.0,46.0
0.01727,0.017406,-7.0,38.0
0.017282,0.017403,7.0,34.0
0.017291,0.0174,9.0,30.0
0.0173,0.017398,12.0,27.0
0.017293,0.017395,20.0,26.0
0.017294,0.017393,9.0,24.0
0.017305,0.01739,73.0,31.0
0.01729,0.017388,60.0,35.0
0.017261,0.017382,-56.0,22.0
0.017263,0.017376,-61.0,10.0
0.017272,0.01737,-51.0,1.0
0.017262,0.017365,-57.0,-7.0
0.01726,0.01736,-61.0,-15.0
0.017278,0.017355,-52.0,-20.0
0.017284,0.01735,-46.0,-24.0
0.017296,0.017346,-32.0,-25.0
0.017274,0.017341,-36.0,-26.0
0.017268,0.017333,-42.0,-30.0
0.017267,0.017329,-36.0,-31.0
0.017255,0.017326,-42.0,-33.0
0.017277,0.017319,-30.0,-33.0
0.017282,0.017315,-27.0,-32.0
0.017349,0.017237,-11.0,-29.0
0.017403,0.017246,36.0,-20.0
0.017426,0.017272,32.0,-4.0
0.017417,0.017285,36.0,2.0
0.01741,0.017296,19.0,4.0
0.017411,0.017307,9.0,5.0
0.017449,0.017317,15.0,6.0
0.017477,0.017332,32.0,10.0
0.0175,0.01737,69.0,24.0
0.017315,0.017521,32.0,25.0
0.017366,0.017512,-7.0,21.0
0.017378,0.017503,5.0,18.0
0.017377,0.017495,9.0,17.0
0.017352,0.017487,-2.0,14.0
0.017337,0.017479,-27.0,8.0
0.017404,0.017471,-11.0,6.0
0.017434,0.017292,5.0,5.0
0.017466,0.0173,14.0,7.0
0.017457,0.017307,18.0,8.0
0.017385,0.017324,-61.0,-2.0
0.017457,0.017357,-16.0,-3.0
0.017458,0.017357,-16.0,-3.0
0.017479,0.017385,-21.0,-7.0
0.017487,0.017398,-12.0,-7.0
0.017484,0.01741,-6.0,-7.0
0.017488,0.017421,12.0,-4.0
0.017487,0.017432,4.0,-3.0
0.017478,0.017452,0.0,-1.0
0.017487,0.017461,-9.0,-2.0
0.017477,0.017463,-30.0,-6.0
0.017456,0.0176,-45.0,-12.0
0.017438,0.017597,-47.0,-17.0
0.017431,0.01759,-51.0,-22.0
0.017378,0.017577,-71.0,-29.0
0.017347,0.017537,-93.0,-45.0
0.017393,0.017519,-73.0,-49.0
0.01736,0.017503,-74.0,-53.0
0.017373,0.017488,-80.0,-56.0
0.017343,0.017475,-80.0,-60.0
0.017372,0.017451,-63.0,-63.0
0.017369,0.01744,-53.0,-61.0
0.017361,0.01743,-52.0,-60.0
0.017357,0.017421,-52.0,-59.0
0.017379,0.017413,-36.0,-55.0
0.017386,0.017405,-29.0,-52.0
0.017367,0.017398,-31.0,-49.0
0.017322,0.017386,-38.0,-45.0
0.017353,0.017381,-25.0,-42.0
0.01736,0.017378,-15.0,-38.0
0.01737,0.017318,5.0,-32.0
0.01739,0.01732,12.0,-26.0
0.017395,0.017323,20.0,-19.0
0.017421,0.017329,33.0,-12.0
0.017418,0.017335,34.0,-5.0
0.017408,0.017346,18.0,2.0
0.017392,0.017356,6.0,4.0
0.017391,0.01736,-1.0,3.0
0.017388,0.017372,12.0,6.0
0.017395,0.017375,24.0,8.0
0.017389,0.017381,23.0,14.0
0.017388,0.017384,-5.0,12.0
0.017389,0.017387,1.0,10.0
0.017388,0.017388,-15.0,6.0
0.017396,0.017429,-5.0,5.0
0.017392,0.017428,-10.0,3.0
0.017391,0.017427,-13.0,0.0
0.017401,0.017427,112.0,16.0
0.017405,0.017426,105.0,29.0
0.017388,0.017424,85.0,44.0
0.017399,0.017424,82.0,49.0
0.017388,0.017423,66.0,52.0
0.017387,0.017421,47.0,51.0
0.017363,0.017417,34.0,49.0
0.017348,0.017411,18.0,44.0
0.017345,0.017405,9.0,39.0
0.017367,0.0174,16.0,36.0
0.017374,0.017395,16.0,33.0
0.017375,0.017387,15.0,28.0
0.01742,0.017339,18.0,27.0
0.017439,0.017343,26.0,27.0
0.017441,0.017358,21.0,26.0
0.01744,0.017365,5.0,23.0
