price,ema,volume,volume_ema,klinger,rsi,signal
0.017011,0.017020,212,205,4.0,45.26,1
0.017016,0.017020,355,218,11.0,47.42,1
0.017033,0.017021,140,208,13.0,54.06,1
0.017031,0.017022,271,206,16.0,53.21,1
0.017044,0.017024,84,184,15.0,57.85,1
0.017036,0.017025,95,171,11.0,54.28,1
0.017035,0.017026,153,165,7.0,53.83,1
0.017044,0.017028,179,164,9.0,57.25,1
0.017052,0.017032,81,157,9.0,60.13,1
0.017071,0.017036,228,162,12.0,66.26,1
0.017078,0.017040,288,170,14.0,68.20,1
0.017209,0.017056,2816.0,306,63.0,85.28,2
0.017279,0.017077,1830.0,390,82.0,88.75,2
0.017311,0.017099,2381.0,502,105.0,89.92,2
0.017272,0.017116,976,533,60.0,79.11,1
0.017284,0.017132,563,555,52.0,79.91,1
0.017425,0.017160,4647.0,784,121.0,86.47,1
0.017377,0.017181,1726.0,867,55.0,77.23,0
0.017369,0.017198,1557.0,933,6.0,75.77,1
0.017408,0.017232,1578.0,1013,9.0,76.69,1
0.017291,0.017238,1212.0,1066,-24.0,59.26,0
0.017290,0.017243,689,1087,-40.0,59.14,1
0.017310,0.017249,753,1121,-26.0,60.90,1
0.017344,0.017258,788,1155,-14.0,63.75,1
0.017305,0.017263,396,1168,-25.0,58.48,1
0.017297,0.017266,467,1182,-36.0,57.43,1
0.017285,0.017268,233,119,-40.0,55.81,1
0.017321,0.017273,223,1197,-33.0,59.50,1
0.017267,0.017274,518,1209,-44.0,52.23,1
0.017261,0.017272,447,1091,-47.0,51.44,1
0.017218,0.017267,396,1019,-49.0,46.10,1
0.017215,0.017262,468,924,-51.0,45.74,1
0.017204,0.017257,968,923,-25.0,44.39,1
0.017242,0.017254,364,704,-6.0,49.97,1
0.017240,0.017252,539,645,3.0,49.67,1
0.017260,0.017252,1350.0,634,-19.0,49.49,1
0.017259,0.017252,173,564,-14.0,52.49,1
0.017253,0.017253,210,514,-16.0,51.45,1
0.017255,0.017253,349,497,-21.0,51.79,1
