price,boillinger_top,boillinger_bottom,klinger,rsi
0.017731,0.017765,0.017640,-3.0,54.31
0.017735,0.017766,0.017639,2.0,55.44
0.017733,0.017768,0.017639,-11.0,54.71
0.017749,0.017770,0.017640,-2.0,59.34
0.017693,0.017770,0.017641,-9.0,42.83
0.017710,0.017770,0.017643,-26.0,47.60
0.017732,0.017771,0.017644,-13.0,53.05
0.017696,0.017771,0.017644,-20.0,44.83
0.017702,0.017771,0.017645,-21.0,46.32
0.017707,0.017771,0.017645,-20.0,47.60
0.017705,0.017771,0.017645,-10.0,47.12
0.017708,0.017771,0.017646,-12.0,47.97
0.017710,0.017771,0.017647,-6.0,48.56
0.017702,0.017771,0.017646,-7.0,46.28
0.017699,0.017770,0.017646,-9.0,45.43
0.017702,0.017770,0.017646,0.0,46.50
0.017725,0.017770,0.017646,15.0,53.95
0.017698,0.017770,0.017645,8.0,45.87
0.017724,0.017770,0.017646,16.0,53.15
0.017776,0.017775,0.017644,28.0,63.66
0.017753,0.017777,0.017644,30.0,57.51
0.017724,0.017777,0.017644,15.0,50.84
0.017727,0.017778,0.017644,8.0,51.47
0.017737,0.017779,0.017644,8.0,53.60
0.017722,0.017779,0.017644,-1.0,50.06
0.017730,0.017780,0.017645,7.0,51.88
0.017719,0.017780,0.017646,-10.0,49.22
0.017720,0.017780,0.017647,-1.0,49.47
0.017698,0.017780,0.017649,-9.0,44.23
0.017708,0.017775,0.017657,-10.0,46.98
0.017719,0.017773,0.017662,-6.0,49.91
0.017701,0.017767,0.017671,-11.0,45.48
0.017693,0.017765,0.017674,-14.0,43.63
0.017688,0.017764,0.017675,-16.0,42.47
0.017696,0.017763,0.017678,-9.0,45.00
0.017710,0.017762,0.017680,-1.0,49.20
0.017690,0.017762,0.017679,-4.0,44.02
0.017668,0.017764,0.017675,-7.0,39.14
0.017675,0.017765,0.017672,-8.0,41.37
0.017670,0.017766,0.017669,-11.0,40.24
0.017672,0.017766,0.017666,-6.0,40.93
0.017656,0.017768,0.017662,-10.0,37.20
0.017647,0.017769,0.017657,-17.0,35.25
0.017660,0.017769,0.017653,-11.0,40.13
0.017659,0.017767,0.017652,-6.0,39.88
0.017660,0.017764,0.017650,-8.0,40.28
0.017674,0.017763,0.017649,-3.0,45.71
0.017677,0.017762,0.017648,0.0,46.83
0.017681,0.017761,0.017647,12.0,48.35
0.017686,0.017760,0.017646,5.0,50.27
0.017678,0.017759,0.017645,8.0,47.24
0.017695,0.017757,0.017645,32.0,53.63
0.017685,0.017756,0.017645,18.0,49.81
0.017663,0.017753,0.017644,7.0,42.62
0.017674,0.017753,0.017643,-3.0,46.76
0.017682,0.017753,0.017643,2.0,49.61
0.017683,0.017751,0.017643,7.0,49.97
0.017673,0.017751,0.017642,-2.0,46.39
0.017680,0.017751,0.017641,-6.0,49.14
0.017676,0.017750,0.017640,-2.0,47.64
0.017674,0.017750,0.017639,-16.0,46.87
0.017681,0.017749,0.017639,-9.0,49.92
0.017684,0.017749,0.017638,-4.0,51.21
0.017681,0.017748,0.017638,-1.0,49.82
0.017692,0.017748,0.017638,6.0,54.67
0.017668,0.017746,0.017637,-2.0,43.94
0.017661,0.017746,0.017635,-9.0,41.39
