price,sar,volume,volume_ema,klinger1,klinger2,rsi,signal
0.017458,0.017357,667,981,-16,-3,57.91,1
0.017468,0.017371,431,983,-8,-4,58.92,1
0.017479,0.017385,544,984,-21,-7,60.06,1
0.017487,0.017398,487,993,-12,-7,60.90,1
0.017484,0.017410,322,987,-6,-7,60.39,1
0.017488,0.017421,914,984,12,-4,60.86,1
0.017506,0.017442,501,902,12,-1,63.11,1
0.017478,0.017452,370,854,0,-1,57.45,1
0.017487,0.017461,307,792,-9,-2,58.73,1
0.017477,0.017463,925,804,-30,-6,56.69,1
0.017456,0.017600,714,824,-45,-12,52.55,1
0.017438,0.017597,183,816,-47,-17,49.24,1
0.017431,0.017590,275,779,-51,-22,47.97,1
0.017378,0.017577,1.026,794,-71,-29,39.65,1
0.017347,0.017537,503,800,-93,-45,35.68,1
0.017393,0.017519,615,813,-73,-49,44.99,1
0.017360,0.017503,271,652,-74,-53,40.47,1
0.017373,0.017488,532,540,-80,-56,42.90,1
0.017343,0.017475,305,522,-80,-60,38.94,1
0.017342,0.017462,230,512,-79,-63,38.81,1
0.017372,0.017451,418,506,-63,-63,44.71,1
0.017369,0.017440,274,495,-53,-61,44.25,1
0.017361,0.017430,168,488,-52,-60,42.99,1
0.017379,0.017413,549,469,-36,-55,47.10,1
0.017386,0.017405,153,451,-29,-52,48.55,1
0.017367,0.017398,198,443,-31,-49,44.94,1
0.017350,0.017392,124,434,-31,-46,41.93,1
0.017322,0.017386,458,410,-38,-45,37.48,1
0.017353,0.017381,460,398,-25,-42,44.50,1
0.017360,0.017378,345,406,-15,-38,45.98,1
0.017370,0.017318,897,437,5,-32,48.10,1
0.017390,0.017320,315,401,12,-26,52.15,1
0.017395,0.017323,438,372,20,-19,53.14,1
0.017421,0.017329,711,382,33,-12,57.98,1
0.017418,0.017335,199,361,34,-5,57.24,1
0.017397,0.017341,265,361,25,-1,52.25,1
0.017408,0.017346,220,345,18,2,54.49,1
0.017392,0.017351,170,339,13,3,50.76,1
0.017393,0.017356,220,338,6,4,50.99,1
0.017391,0.017360,325,333,-1,3,50.49,1
0.017389,0.017368,729,355,17,5,49.92,1
