price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
.017302,0.017315,0.017320,0.017324,0.017329,0.017335,0.017342,0.017347,355,1398.0,0.017311499999999997
0.017323,0.017316,0.017320,0.017324,0.017328,0.017334,0.017341,0.017346,609,1418.0,0.0173097
0.017312,0.017315,0.017319,0.017323,0.017327,0.017333,0.017340,0.017345,313,1419.0,0.017307700000000002
0.017320,0.017316,0.017319,0.017323,0.017327,0.017333,0.017339,0.017344,652,1427.0,0.0173057
0.017311,0.017315,0.017319,0.017322,0.017326,0.017332,0.017337,0.017343,342,1425.0,0.0173041
0.017322,0.017316,0.017319,0.017322,0.017326,0.017331,0.017337,0.017342,479,1307.0,0.017299100000000005
0.017309,0.017315,0.017318,0.017321,0.017325,0.017330,0.017336,0.017341,173,1286.0,0.017295900000000003
0.017303,0.017314,0.017317,0.017320,0.017324,0.017329,0.017334,0.017339,149,1282.0,0.017292300000000004
0.017305,0.017313,0.017316,0.017319,0.017323,0.017328,0.017333,0.017338,154,1234.0,0.0172896
0.017306,0.017313,0.017315,0.017318,0.017322,0.017327,0.017332,0.017337,247,1238.0,0.0172853
0.017304,0.017312,0.017315,0.017317,0.017321,0.017325,0.017331,0.017335,181,1236.0,0.0172827
0.017305,0.017311,0.017314,0.017317,0.017320,0.017324,0.017329,0.017334,190,932,0.0172788
0.017292,0.017309,0.017312,0.017315,0.017318,0.017323,0.017328,0.017333,300,826,0.017276500000000004
0.017300,0.017308,0.017311,0.017314,0.017317,0.017322,0.017327,0.017331,707,565,0.0172757
0.017295,0.017307,0.017310,0.017313,0.017316,0.017320,0.017325,0.017330,236,341,0.0172751
0.017272,0.017304,0.017307,0.017310,0.017314,0.017318,0.017323,0.017328,710,362,0.0172822
0.017277,0.017301,0.017305,0.017308,0.017312,0.017316,0.017321,0.017326,393,366,0.0172883
0.017267,0.017298,0.017302,0.017305,0.017309,0.017314,0.017319,0.017323,152,353,0.0172969
0.017278,0.017296,0.017300,0.017304,0.017307,0.017312,0.017317,0.017322,471,356,0.0173062
0.017263,0.017293,0.017297,0.017301,0.017305,0.017310,0.017314,0.017319,264,354,0.0173198
0.017278,0.017292,0.017296,0.017299,0.017303,0.017308,0.017313,0.017318,127,343,0.0173343
0.017266,0.017289,0.017293,0.017297,0.017301,0.017306,0.017311,0.017316,212,323,0.017349899999999998
0.017269,0.017287,0.017292,0.017295,0.017300,0.017304,0.017309,0.017314,1155.0,365,0.017366
0.017292,0.017288,0.017292,0.017295,0.017299,0.017304,0.017308,0.017313,583,361,0.017382799999999997
0.017289,0.017288,0.017291,0.017295,0.017299,0.017303,0.017307,0.017312,365,362,0.0173998
0.017343,0.017293,0.017295,0.017298,0.017301,0.017305,0.017309,0.017313,511,364,0.017411799999999998
0.017338,0.017297,0.017299,0.017301,0.017303,0.017306,0.017310,0.017314,324,372,0.017427500000000002
0.017353,0.017303,0.017303,0.017304,0.017306,0.017309,0.017312,0.017316,1024.0,415,0.017440700000000003
0.017371,0.017309,0.017308,0.017308,0.017310,0.017312,0.017315,0.017318,357,425,0.0174539
0.017399,0.017318,0.017315,0.017314,0.017314,0.017316,0.017318,0.017321,3091.0,568,0.017466000000000002
0.017423,0.017328,0.017323,0.017321,0.017321,0.017321,0.017323,0.017325,3284.0,723,0.017476400000000003
0.017422,0.017337,0.017331,0.017328,0.017326,0.017326,0.017327,0.017329,615,744,0.017486600000000005
0.017430,0.017346,0.017339,0.017334,0.017332,0.017331,0.017332,0.017333,456,752,0.0174986
0.017460,0.017356,0.017348,0.017342,0.017339,0.017337,0.017337,0.017338,650,749,0.0175089
0.017459,0.017366,0.017356,0.017350,0.017346,0.017343,0.017343,0.017343,517,763,0.017522100000000002
0.017463,0.017375,0.017365,0.017357,0.017352,0.017349,0.017348,0.017347,287,742,0.0175353
0.017495,0.017387,0.017375,0.017366,0.017360,0.017356,0.017354,0.017353,649,755,0.0175441
0.017485,0.017396,0.017383,0.017374,0.017367,0.017363,0.017360,0.017358,700,782,0.0175564
0.017503,0.017406,0.017392,0.017382,0.017375,0.017369,0.017366,0.017364,899,804,0.0175676
0.017520,0.017417,0.017402,0.017391,0.017383,0.017377,0.017373,0.017370,397,810,0.017579099999999997
0.017527,0.017428,0.017412,0.017400,0.017391,0.017384,0.017379,0.017376,432,825,0.0175919
0.017524,0.017437,0.017420,0.017408,0.017398,0.017391,0.017386,0.017382,232,826,0.0176071
0.017550,0.017448,0.017430,0.017417,0.017407,0.017399,0.017393,0.017389,611,799,0.017612
0.017563,0.017459,0.017441,0.017426,0.017415,0.017407,0.017400,0.017395,681,804,0.0176137
0.017591,0.017480,0.017461,0.017445,0.017433,0.017423,0.017415,0.017409,405,806,0.017611999999999996
0.017595,0.017491,0.017471,0.017455,0.017442,0.017431,0.017423,0.017417,381,809,0.017610999999999998
0.017583,0.017500,0.017480,0.017463,0.017450,0.017439,0.017430,0.017423,166,766,0.017613499999999997
0.017608,0.017510,0.017490,0.017473,0.017458,0.017447,0.017438,0.017430,384,767,0.017613399999999998
0.017615,0.017520,0.017499,0.017482,0.017467,0.017455,0.017446,0.017438,276,627,0.0176134
0.017635,0.017531,0.017510,0.017492,0.017476,0.017464,0.017454,0.017445,1024.0,514,0.0176131
